id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price
8132988,Spacious room in the city center,6761744,Nacho,Sant Antoni,41.38263,2.16253,Private room,2,11,2019-12-13,0.24,2,365,60
35108315,Habitación doble en el centro de Barcelona,264450203,Sara,el Poble Sec,41.3721,2.17076,Private room,3,11,2019-09-30,0.56,1,225,35
21471897,Bailey's Barcelona!!,38848388,Sergi & Senia,la Bordeta,41.36732,2.13724,Private room,2,4,2019-10-06,0.12,4,89,50
40745175,Apartamento moderno cerca del Camp Nou,71615,Mireia And Maria,les Corts,41.38137,2.13046,Entire home/apt,32,0,,,19,324,50
46059562,ColivingMariluz - Room with bathroom in Bcn Centre,368846858,Eva,el Barri Gòtic,41.38229,2.1771,Private room,15,0,,,6,70,55
43039810,Apartamento tipo loft en el barrio gótico,342495616,B&F Homes,el Barri Gòtic,41.38055,2.17697,Entire home/apt,32,0,,,15,308,24
15723773,Sunny Big Room InSuite Shower - 5 min Paseo Gracia,3508504,Claudia,la Vila de Gràcia,41.39937,2.16244,Private room,31,0,,,1,364,80
2349369,Penthouse with terrace in Barcelona,11997110,Pilar,Sant Antoni,41.37844,2.15731,Entire home/apt,2,253,2020-09-19,3.01,1,175,77
30811915,4 Person Room,230335402,Dmytro,la Barceloneta,41.38197,2.18661,Private room,32,0,,,1,1,70
33775629,Spacious and Clean double room on a great Location,83812910,Vicky Home,el Poble Sec,41.3726,2.15888,Private room,2,5,2019-08-10,0.23,2,365,34
13541989,Habitacion en el centro. Ciudadela y el mar,23949005,Sandra,"Sant Pere, Santa Caterina i la Ribera",41.38516,2.18215,Private room,2,91,2020-02-16,1.93,2,179,40
6653030,Habitación mediana Poble Sec,34822743,Leticia,Sant Antoni,41.37539,2.15603,Private room,1,0,,,1,365,320
45970795,1 bedroom apartment for 4 on the 4th floor,5614931,Fisa Rentals,les Corts,41.38521,2.14063,Entire home/apt,1,0,,,40,298,108
4090521,Apartment close to Sagrada Familia,12060104,María Teresa,el Camp de l'Arpa del Clot,41.40768,2.18404,Entire home/apt,3,88,2020-03-14,1.13,1,355,90
44428988,Apartamento Chic en Barcelona Centro - Diagonal,173993443,Pilar,les Tres Torres,41.39388,2.13079,Entire home/apt,6,2,2020-09-25,0.34,11,70,69
16375985,"Very central, bright, fun, AC, Rambla Catalunya",5878688,Yaiza,la Dreta de l'Eixample,41.39118,2.16478,Entire home/apt,14,12,2020-02-22,0.25,40,2,148
