id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price
31492917,habitación Brillante!!,235944831,Jose,Sant Gervasi - la Bonanova,41.40446,2.14055,Shared room,3,3,2019-04-30,0.13,1,90,90.0
45211740,Apart MENSUAL de 2 hab. minutos de Francesc macia,265193861,Joaquim,Sant Gervasi - Galvany,41.39367,2.14442,Entire home/apt,15,1,2020-09-30,0.23,146,1,1.0
4572269,Estupendo apartamento en Poblenou,20856270,Gabriele,el Parc i la Llacuna del Poblenou,41.39658,2.19282,Entire home/apt,2,346,2021-01-16,4.73,2,326,326.02
29168321,Alaia 11 - Habitat Apartments,158023606,Habitat Apartments,l'Antiga Esquerra de l'Eixample,41.39298,2.15746,Entire home/apt,1,31,2020-10-21,1.22,105,308,308.05
47527689,NICE ROOM IN THE CITY CENTER,5314041,Claudia,la Dreta de l'Eixample,41.38586,2.16711,Private room,30,0,,,16,71,71.01
37420408,"Piso Luminoso con Terraza Privada, en Eixample Bcn",281097807,Andrea,la Nova Esquerra de l'Eixample,41.37949,2.15372,Entire home/apt,5,26,2020-07-15,1.44,1,323,322.94
827250,Estudio / Terraza P4 (S. Família) mínimo 32 NOCHES,3912625,Xavier,la Sagrada Família,41.40267,2.17199,Entire home/apt,32,39,2020-09-27,0.42,2,363,363.0
44311205,Big double room - H3,353254724,Yuri,la Bordeta,41.37054,2.13737,Private room,32,0,,,8,365,365.0
37774977,DOUBLE ROOM WITH PRIVATE BATHROOM-Arco de Triunfo,285711673,Thiago,el Fort Pienc,41.39266,2.1821,Private room,3,10,2020-03-14,0.62,1,190,190.11
42710502,Habitación doble en el Born!,67213513,Giacomo,"Sant Pere, Santa Caterina i la Ribera",41.3847,2.18253,Private room,1,0,,,1,365,365.0
18614267,Habitación grande y luminosa,129291345,Mikhail,la Nova Esquerra de l'Eixample,41.38702,2.14582,Private room,2,30,2019-10-15,0.67,1,365,365.0
34281282,Cozy apartment Born near beaches,195467539,Martina,"Sant Pere, Santa Caterina i la Ribera",41.38568,2.18248,Entire home/apt,4,4,2019-11-01,0.19,3,180,180.0
